.TRANSLITERATION

; This file is used by GPSMapEdit to provide translitertion table for Hebrew.
; Based on ISO 259, http://en.wikipedia.org/wiki/Romanization_of_Hebrew.
;
; NOTE: if you want to translate this file to another language,
; please keep the first line (".TRANSLITERATION") as is.
;

; Display name for data
.NAME Hebrew->Latin (ISO 259)

; Language ID for Hebrew defined by Microsoft
.LANGID 1037

;
; Tests
;

.TEST עִבְרִית  ivəryṯ

;
; The substitutions
;

.DATA
א	ʼ
אּ	ʼ
ב	ḇ
בּ	b
ג	ḡ
גּ	g
ד	ḏ
דּ	d
ה	h
הּ	h
ו	w
וּ	ww
ז	z
זּ	zz
ח	ḥ
ט	ṭ
טּ	ṭṭ
י	y
יּ	yy
כ	ḵ
ך	ḵ
כּ	k
ךּ	k
ל	l
לּ	ll
ם	m
מ	m
מּ	mm
ן	n
נ	n
נּ	nn
ס	s
סּ	ss
ע	ʻ
ף	p̄
פ	p̄
פּ	p
צ	ṣ
ץ	ṣ
צּ	ṣṣ
ק	q
קּ	qq
ר	r
שׁ	š
שּׁ	šš
שׂ	ś
שּׂ	śś
ת	ṯ
תּ	t

טְ	ə
בְ	və
חֱ	ĕ
חֲ	ă
חֳ	ŏ
טִ	i
עִ	i
ḥ	ī
רִ	r
טֵ	ē
טֶ	e
טַ	a
טָ	ā
טֹ	ō
טֻ	u
טוּ	u

טֵי	ē
טֶי	e
טַיְ	ay
טַי	ay
טָיְ	āy
טָי	āy
טֹיְ	ōy
טֹי	ōy
טֻי	uy
טֻיְ	uy
טוּי	uy
טוּיְ	uy
