.TRANSLITERATION

; This file is used by GPSMapEdit to provide translitertion table for Armenian to Russian (Cyrillic).
; Non-standardized!
;
; NOTE: if you want to translate this file to another language,
; please keep the first line (".TRANSLITERATION") as is.
;

; Display name for data
.NAME Armenian->Russian (non-standard)

; Language ID for Armenian defined by Microsoft
.LANGID 1067

;
; Tests
;

.TEST Երևան Ерйеван

;
; The substitutions
;

.DATA
Ա	А
ա	а
Բ	Б
բ	б
Գ	Г
գ	г
Դ	Д
դ	д
Ե	Е
ե	е
Զ	З
զ	з
Է	Э
է	э
Ը	О
ը	о
Թ	Т’
թ	т’
Ժ	Ж
ժ	ж
Ի	И
ի	и
Լ	Л
լ	л
Խ	Х
խ	х
Ծ	Тс
ծ	тс
Կ	К
կ	к
Հ	Х
հ	х
Ձ	Дз
ձ	дз
Ղ	Гх
ղ	гх
Ճ	Тш
ճ	тш
Մ	М
մ	м
Յ	Й
յ	й
Ն	Н
ն	н
Շ	Ш
շ	ш
Ո	Во
ո	во
Չ	Ч
չ	ч
Պ	П
պ	п
Ջ	Дж
ջ	дж
Ռ	Р
ռ	р
Ս	С
ս	с
Վ	В
վ	в
Տ	Т
տ	т
Ր	Р
ր	р
Ց	Ц
ց	ц
Ւ	В
ւ	в
Փ	П’
փ	п’
Ք	К’
ք	к’
Օ	О
օ	о
Ֆ	Ф
ֆ	ф
ՈՒ	У
ու	у
և	йев

; для более привычной читаемости русского дифтонга
յա	я

;
; http://www.translator.am/en/dictionary.html
; http://diict.com/hy
;
-րդ	-я
-ին	-я

փողոց	улица
փողոցի	улицы
փողոցների	улиц
փող.	ул.
փող	ул.
պողոտայի	авеню
պողոտա	авеню
նրբանցք	переулок
նրբանացք	переулок
նրբացք	переулок
նրբանց	переулок
նրբ.	пер.
նրբ	пер.
փակուղի	тупик
Փակուղի	Тупик
փակ	туп.
խճուղի	шоссе
մայրուղի	шоссе
հրապարակ	площадь
Նրբանցք	Аллея
թաղամասի	района
թաղամաս	района
խաչմերուկ	перекрёсток
խարմերուկ	перекрёсток
եղբայրների	братьев
ճանապարհ	проезд
Մայրուղի	Магистраль
Դաշտային	Полевая дорога
Ասֆալտապատված	Асфальтированная
Գրունտային	Грунтовая
Մայթ	Тротуар
Անանուն	Без названия
անանուն	без названия
Առանց	Без 
եզրագծի	контура
