.TRANSLITERATION

; This file is used by GPSMapEdit to provide translitertion table for Japanese Kana.
; Based on Revised Hepburn system of romanization, http://en.wikipedia.org/wiki/Romanization_of_Japanese
;
; NOTE: if you want to translate this file to another language,
; please keep the first line (".TRANSLITERATION") as is.
;

; Display name for data
.NAME Japanese Kana->Latin (Hepburn)

; Language ID for Japanese defined by Microsoft
.LANGID 1041

;
; Tests
;

.TEST とうきょう  toukyou

;
; The substitutions
;

.DATA
あ	a
ア	a
い	i
イ	i
う	u
ウ	u
え	e
エ	e
お	o
オ	o
や	ya
ャ	ya
ヤ	ya
ゆ	yu
ュ	yu
ユ	yu
よ	yo
ョ	yo
ヨ	yo
か	ka
カ	ka
き	ki
キ	ki
く	ku
ク	ku
け	ke
ケ	ke
こ	ko
コ	ko
きゃ	kya
キャ	kya
きゅ	kyu
キュ	kyu
きょ	kyo
キョ	kyo
さ	sa
サ	sa
し	shi
シ	shi
す	su
ス	su
せ	se
セ	se
そ	so
ソ	so
しゃ	sha
シャ	sha
しゅ	shu
シュ	shu
しょ	sho
ショ	sho
た	ta
タ	ta
ち	chi
チ	chi
つ	tsu
ツ	tsu
て	te
テ	te
と	to
ト	to
ちゃ	cha
チャ	cha
ちゅ	chu
チュ	chu
ちょ	cho
チョ	cho
な	na
ナ	na
に	ni
ニ	ni
ぬ	nu
ヌ	nu
ね	ne
ネ	ne
の	no
ノ	no
にゃ	nya
ニャ	nya
にゅ	nyu
ニュ	nyu
にょ	nyo
ニョ	nyo
は	ha
ハ	ha
ひ	hi
ヒ	hi
ふ	fu
フ	fu
へ	he
ヘ	he
ほ	ho
ホ	ho
ひゃ	hya
ヒャ	hya
ひゅ	hyu
ヒュ	hyu
ひょ	hyo
ヒョ	hyo
ま	ma
マ	ma
み	mi
ミ	mi
む	mu
ム	mu
め	me
メ	me
も	mo
モ	mo
みゃ	mya
ミャ	mya
みゅ	myu
ミュ	myu
みょ	myo
ミョ	myo
ら	ra
ラ	ra
り	ri
リ	ri
る	ru
ル	ru
れ	re
レ	re
ろ	ro
ロ	ro
りゃ	rya
リャ	rya
りゅ	ryu
リュ	ryu
りょ	ryo
リョ	ryo
わ	wa
ワ	wa
ゐ	wi
ヰ	wi
ゑ	we
ヱ	we
を	wo
ヲ	wo
ん	n
ン	n
が	ga
ガ	ga
ぎ	gi
ギ	gi
ぐ	gu
グ	gu
げ	ge
ゲ	ge
ご	go
ゴ	go
ぎゃ	gya
ギャ	gya
ぎゅ	gyu
ギュ	gyu
ぎょ	gyo
ギョ	gyo
ざ	za
ザ	za
じ	ji
ジ	ji
ず	zu
ズ	zu
ぜ	ze
ゼ	ze
ぞ	zo
ゾ	zo
じゃ	ja
ジャ	ja
じゅ	ju
ジュ	ju
じょ	jo
ジョ	jo
だ	da
ダ	da
ぢ	ji
ヂ	ji
づ	zu
ヅ	zu
で	de
デ	de
ど	do
ド	do
ぢゃ	ja
ヂャ	ja
ぢゅ	ju
ヂュ	ju
ぢょ	jo
ヂョ	jo
ば	ba
バ	ba
び	bi
ビ	bi
ぶ	bu
ブ	bu
べ	be
ベ	be
ぼ	bo
ボ	bo
びゃ	bya
ビャ	bya
びゅ	byu
ビュ	byu
びょ	byo
ビョ	byo
ぱ	pa
パ	pa
ぴ	pi
ピ	pi
ぷ	pu
プ	pu
ぺ	pe
ペ	pe
ぽ	po
ポ	po
ぴゃ	pya
ピャ	pya
ぴゅ	pyu
ピュ	pyu
ぴょ	pyo
ピョ	pyo
