.TRANSLITERATION

; This file is used by GPSMapEdit to provide translitertion table for Georgian.
; Based on BGN, http://en.wikipedia.org/wiki/Georgian_alphabet
;
; NOTE: if you want to translate this file to another language,
; please keep the first line (".TRANSLITERATION") as is.
;

; Display name for data
.NAME Georgian->Latin (BGN)

; Language ID for Georgian defined by Microsoft
.LANGID 1079

;
; Tests
;

.TEST თბილისი t'bilisi

;
; The substitutions
;

.DATA
ა	a
ბ	b
გ	g
დ	d
ე	e
ვ	v
ზ	z
თ	t'
ი	i
კ	k
ლ	l
მ	m
ნ	n
ჲ	y
ო	o
პ	p'
ჟ	zh
რ	r
ს	s
ტ	t
უ	u
ფ	p'
ქ	k'
ღ	gh
ყ	q
შ	sh
ჩ	ch'
ც	ts'
ძ	dz
წ	ts
ჭ	ch
ხ	kh
ჯ	j
ჰ	h
