.TRANSLITERATION

; This file is used by GPSMapEdit to provide translitertion table for Georgian.
; Based on system of State Department of Geodesy and Cartography of Georgia and the Institute of Linguistics, Georgian Academy of Sciences,
; http://en.wikipedia.org/wiki/Georgian_national_system_of_romanization
;
; NOTE: if you want to translate this file to another language,
; please keep the first line (".TRANSLITERATION") as is.
;

; Display name for data
.NAME Georgian->Latin (national)

; Language ID for Georgian defined by Microsoft
.LANGID 1079

;
; Tests
;

.TEST თბილისი tbilisi

;
; The substitutions
;

.DATA
ა	a
ბ	b
გ	g
დ	d
ე	e
ვ	v
ზ	z
თ	t
ი	i
კ	k'
ლ	l
მ	m
ნ	n
ო	o
პ	p'
ჟ	zh
რ	r
ს	s
ტ	t'
უ	u
ფ	p'
ქ	k'
ღ	gh
ყ	q'
შ	sh
ჩ	ch
ც	ts
ძ	dz
წ	ts'
ჭ	ch'
ხ	kh
ჯ	j
ჰ	h
