.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Arabic (Saudi Arabia) defined by Microsoft
;
.LANGID 0x401

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	نوع غير معروف

;========================================================================================

.POINT

; Cities arranged by population
0x0100	مدينة كبيرة، أكثر من 10 مليون
0x0200	مدينة كبيرة، من 5-10 مليون
0x0300	مدينة كبيرة، من 2-5 مليون
0x0400	مدينة كبيرة، من 1-2 مليون
0x0500	مدينة متوسطة، 0.5-1 مليون
0x0600	مدينة متوسطة، 200-500 ألف
0x0700	مدينة متوسطة، 100-200 ألف
0x0800	مدينة صغيرة، 50-100 ألف
0x0900	مدينة صغيرة، 20-50 ألف
0x0a00	مدينة صغيرة/بلدة، 10-20 ألف
0x0b00	مدينة صغير /بلدة، 5-10 ألآف
0x0c00	تجمع صغير، 2-5 آلاف
0x0d00	تجمع صغير، 1-2 ألف
0x0e00	تجمع صغير، 500-ألف
0x0f00	تجمع صغير، 200-500
0x1000	تجمع صغير، 100-200
0x1100	تجمع صغير، أقل من 100

; Labels without icons
0x1400	اسم المنطقة الرئيسي
0x1500	اسم المنطقة الثانوي
0x1e00	اسم الدولة/المقاطعة/المنطقة
0x1f00	اسم المقاطعة/الدائرة
0x2800	علامة

; Marine features
0x1200	مارينا مع خدمات

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	"نافايد"
0x1601	بوق الضباب
0x1602	منارة لاسلكية
0x1603	المنارة الرادارية
0x1604	منارة، مثلث أحمر
0x1605	منارة، مربع أخضر
0x1606	منارة، معين أبيض
0x1607	"نافايد" غير مضاء، أبيض
0x1608	"نافايد" غير مضاء، أحمر
0x1609	"نافايد" غير مضاء، أخضر
0x160a	"نافايد" غير مضاء، أسود
0x160b	"نافايد" غير مضاء، أصفر/كهرماني
0x160c	"نافايد" غير مضاء، برتقالي
0x160d	"نافايد" غير مضاء، عدة ألوان
0x160e	"نافايد"، غير معروف
0x160f	"نافايد"، أبيض
0x1610	"نافايد"، أحمر
0x1611	"نافايد"، أخضر
0x1612	"نافايد"، أصفر/كهرماني
0x1613	"نافايد"، برتقالي
0x1614	"نافايد"، بنفسجي
0x1615	"نافايد"، أزرق
0x1616	"نافايد"، عدة ألوان

0x1c00	عائق
0x1c01	حطام
0x1c02	حطام مغمور، خطر
0x1c03	حطام مغمور، غير خطر
0x1c04	حطام، أزيل بطريقة السحب بالأسلاك
0x1c05	عائق، مرئي عند المد العالي
0x1c06	عائق، عائم
0x1c07	عائق، مغمور
0x1c08	عائق، أزيل بطريقة السحب بالأسلاك
0x1c09	صخرة، عائمة
0x1c0a	صخرة، مغمورة في مياه ضحلة
0x1c0b	خطر محتمل بالتأريض

; Tide table prediction used in marine maps
0x1d00	توقعات المد والجزر

; NOTE: "HW Exit" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	مخرج طريق سريع
0x2100	مخرج طريق سريع مع وجود خدمات
0x210f	مخرج طريق سريع (خدمات)
0x2200	مخرج طريق رئيسي (دورة مياه)
