.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Danish defined by Microsoft
;
.LANGID 0x406

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Ukendt

;========================================================================================

.POINT

; Cities arranged by population
0x0100	By stor (>10M)
0x0200	By stor (5-10M)
0x0300	By stor (2-5M)
0x0400	By stor (1-2M)
0x0500	By mellem (0.5-1M)
0x0600	By mellem (200-500K)
0x0700	By mellem (100-200K)
0x0800	By lille (50-100K)
0x0900	By lille (20-50K)
0x0a00	By lille (10-20K)
0x0b00	By lille (5-10K)
0x0c00	Afregning (2-5K)
0x0d00	Afregning (1-2K)
0x0e00	Afregning (500-1K)
0x0f00	Afregning (200-500)
0x1000	Afregning (100-200)
0x1100	Afregning (<100)

; Labels without icons
0x1400	Større land navn
0x1500	Mindre land navn
0x1e00	Provins/region navn
0x1f00	Amt/sogn navn
0x2800	Label

; Marine features
0x1200	Lystbådehavn med faciliteter

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	Navigationspunkt
0x1601	Horn
0x1602	Radiofyr
0x1603	Racon
0x1604	Dagssignal (red triangle)
0x1605	Dagssignal (green square)
0x1606	Dagssignal (white diamond)
0x1607	Uoplyst navigationspunkt, hvidt
0x1608	Uoplyst navigationspunkt, rødt
0x1609	Uoplyst navigationspunkt, grønt
0x160a	Uoplyst navigationspunkt, sort
0x160b	Uoplyst navigationspunkt, gult
0x160c	Uoplyst navigationspunkt, orange
0x160d	Uoplyst navigationspunkt (multi colored)
0x160e	Navigationspunkt (unknown)
0x160f	Navigationspunkt, hvidt
0x1610	Navigationspunkt, rødt
0x1611	Navigationspunkt, grønt
0x1612	Navigationspunkt, gult
0x1613	Navigationspunkt, orange
0x1614	Navigationspunkt, violet
0x1615	Navigationspunkt, blåt
0x1616	Navigationspunkt (multi colored)

0x1c00	Uklassificeret forhindring
0x1c01	Synligt vrag
0x1c02	Nedsænket vrag, farlig for sejlads
0x1c03	Nedsænket vrag
0x1c04	Vrag, fjernet ved strygning
0x1c05	Forhindring, synlig ved højvande
0x1c06	Forhindring, i vandoverfladen
0x1c07	Forhindring, nedsænket
0x1c08	Forhindring, fjernet
0x1c09	Klippe, i overfladen
;0x1c0a	
;0x1c0b	

; Tide table prediction used in marine maps
0x1d00	Pejlestation for tidevand/havstrøm

; NOTE: "HW Exit" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	Exit 
0x2100	Exit  (facilities)
0x210f	Exit  (service)
0x2200	Exit  (restroom)
0x2300	Kiosk
0x2400	Lastbilvægt
0x2500	Betalingsanlæg
0x2600	Exit  (information)
0x2700	Exit 

0x2900	Andet

0x2a00	Mad og drikke
0x2a01	Amerikansk
0x2a02	Asiatisk
0x2a03	Barbecue
0x2a04	Kinesisk
0x2a05	Delikatesse/bageri
0x2a06	Internatonalt
0x2a07	Fastfood
0x2a08	Italiensk
0x2a09	Mexicansk
0x2a0a	Pizzeria
0x2a0b	Fisk
0x2a0c	Bøf/grill
;0x2a0d	
;0x2a0e	
0x2a0f	Fransk
