.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Hungarian defined by Microsoft
;
.LANGID 0x40e

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Ismeretlen típus

;========================================================================================

.POINT

; Cities arranged by population
0x0100	Nagy város, 10M felett
0x0200	Nagy város, 5-10M
0x0300	Nagy város, 2-5M
0x0400	Nagy város, 1-2M
0x0500	Közepes város, 0.5-1M
0x0600	Közepes város, 200-500K
0x0700	Közepes város, 100-200K
0x0800	Kis város, 50-100K
0x0900	Kis város, 20-50K
0x0a00	Kis város, 10-20K
0x0b00	Kis város, 5-10K
0x0c00	Falu, 2-5K
0x0d00	Falu, 1-2K
0x0e00	Falu, 500-1K
0x0f00	Falu, 200-500
0x1000	Falu, 100-200
0x1100	Falu, 100-nál kevesebb

; Labels without icons
0x1400	Nagy országnév
0x1500	Kis országnév
0x1e00	Tartomány név
0x1f00	Megye/régió név
0x2800	Cimke

; Marine features
0x1200	Kikötő szolgáltatásokkal

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	Navigációs segédeszköz
0x1601	Ködkürt
0x1602	Rádiós irányjeladó
0x1603	Racon
0x1604	Nappali irányjeladó, vörös háromszög
0x1605	Nappali irányjeladó, zöld négyzet
0x1606	Nappali irányjeladó, fehér gyémánt
0x1607	Nem világító navigációs segédeszköz, fehér
0x1608	Nem világító navigációs segédeszköz, vörös
0x1609	Nem világító navigációs segédeszköz, zöld
0x160a	Nem világító navigációs segédeszköz, fekete
0x160b	Nem világító navigációs segédeszköz, sárga/borostyán
0x160c	Nem világító navigációs segédeszköz, narancssárga
0x160d	Nem világító navigációs segédeszköz, több színű
0x160e	Navigációs segédeszköz, ismeretlen
0x160f	Navigációs segédeszköz, fehér
0x1610	Navigációs segédeszköz, vörös
0x1611	Navigációs segédeszköz, zöld
0x1612	Navigációs segédeszköz, sárga/borostyán
0x1613	Navigációs segédeszköz, narancssárga
0x1614	Navigációs segédeszköz, lila
0x1615	Navigációs segédeszköz, kék
0x1616	Navigációs segédeszköz, több színű

0x1c00	Egyéb akadály
0x1c01	Látható roncs
0x1c02	Elsüllyedt hajóroncs, veszélyes
0x1c03	Elsüllyedt hajóroncs, nem veszélyes
0x1c04	Hajóroncs, drótkötéllel akadálymentesítve
0x1c05	Akadály, magas víznél látható
0x1c06	Akadály, vízzel elárasztott
0x1c07	Akadály, elsüllyedt
0x1c08	Akadály, drótkötéllel akadálymentesítve
0x1c09	Szikla, vízzel elárasztott
0x1c0a	Szikla, elmerült alacsony vízben
0x1c0b	Zátonyra futás lehetséges

; Tide table prediction used in marine maps
0x1d00	Árapályjelző állomás

; NOTE: "HW Exit" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	Autópálya kijáró
0x2100	Autópálya kijáró szolgáltatásokkal
0x210f	Autópálya kijáró (szolgáltatás)
0x2200	Autópálya kijáró (WC)
0x2300	Autópálya kijáró (vegyesbolt)
0x2400	Autópálya kijáró (súly állomás)
0x2500	Autópálya kijáró (fizető kapu)
0x2600	Autópálya kijáró (információ)
