.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Lithuanian defined by Microsoft
;
.LANGID 0x427

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Nežinomas tipas

;========================================================================================

.POINT

; Cities arranged by population
0x0100	Didelis miestas, virš 10 M
0x0200	Didelis miestas, 5–10 M
0x0300	Didelis miestas, 2–5 M
0x0400	Didelis miestas, 1–2 M
0x0500	Vidutinio dydžio miestas, 0,5–1 M
0x0600	Vidutinio dydžio miestas, 200–500 K
0x0700	Vidutinio dydžio miestas, 100–200 K
0x0800	Mažas miestas, 50–100 K
0x0900	Mažas miestas, 20–50 K
0x0a00	Mažas miestas / miestelis, 10–20 K
0x0b00	Mažas miestas / miestelis, 5–10 K
0x0c00	Gyvenvietė, 2–5 K
0x0d00	Gyvenvietė, 1–2 K
0x0e00	Gyvenvietė, 500–1 K
0x0f00	Gyvenvietė, 200–500
0x1000	Gyvenvietė, 100–200
0x1100	Gyvenvietė, mažiau nei 100

; Labels without icons
0x1400	Didelės šalies pavadinimas
0x1500	Mažos šalies pavadinimas
0x1e00	Šalies / provincijos / regiono pavadinimas
0x1f00	Šalies / gyvenvietės pavadinimas
0x2800	Žymena

; Marine features
0x1200	Įrengta prieplauka

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	Navigacijos priemonės
0x1601	Rūko sirena
0x1602	Radijo švyturys
0x1603	„Racon“
0x1604	Dieninis švyturys, raudonas trikampis
0x1605	Dieninis švyturys, žalias kvadratas
0x1606	Dieninis švyturys, baltas rombas
0x1607	Neapšviesta navigacijos priemonė, balta
0x1608	Neapšviesta navigacijos priemonė, raudona
0x1609	Neapšviesta navigacijos priemonė, žalia
0x160a	Neapšviesta navigacijos priemonė, juoda
0x160b	Neapšviesta navigacijos priemonė, geltona / gintarinė
0x160c	Neapšviesta navigacijos priemonė, oranžinė
0x160d	Neapšviesta navigacijos priemonė, įvairiaspalvė
0x160e	Nežinoma navigacijos priemonė
0x160f	Navigacijos priemonė, balta
0x1610	Navigacijos priemonė, raudona
0x1611	Navigacijos priemonė, žalia
0x1612	Navigacijos priemonė, geltona / gintarinė
0x1613	Navigacijos priemonė, oranžinė
0x1614	Navigacijos priemonė, violetinė
0x1615	Navigacijos priemonė, mėlyna
0x1616	Navigacijos priemonė, įvairiaspalvė

0x1c00	Kliūtis
0x1c01	Nuolaužos
0x1c02	Povandeninės nuolaužos, pavojinga
0x1c03	Povandeninės nuolaužos, nepavojinga
0x1c04	Nuolaužos, išvalytos tempiant trosą
0x1c05	Kliūtis, matoma per potvynį
0x1c06	Kliūtis, užtvindyta
0x1c07	Kliūtis, po vandeniu
0x1c08	Kliūtis, išvalyta tempiant trosą
0x1c09	Uolos, užtvindytos
0x1c0a	Uolos, užliejamos per atoslūgį
0x1c0b	Seklumos pavojus

; Tide table prediction used in marine maps
0x1d00	Potvynio ir atoslūgio prognozė

; NOTE: "HW Exit" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	Išvažiavimas iš greitkelio
