.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Latvian defined by Microsoft
;
.LANGID 0x426

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Nezināms tips

;========================================================================================

.POINT

; Cities arranged by population
0x0100	Liela pilsēta, vairāk nekā 10 milj.
0x0200	Liela pilsēta, 5-10 milj.
0x0300	Liela pilsēta, 2-5 milj.
0x0400	Liela pilsēta, 1-2 milj.
0x0500	Vidēja pilsēta, 0,5-1 milj.
0x0600	Vidēja pilsēta, 200-500 tūkst.
0x0700	Vidēja pilsēta, 100-200 tūkst.
0x0800	Maza pilsēta, 50-100 tūkst.
0x0900	Maza pilsēta, 20-50 tūkst
0x0a00	Maza pilsēta/ciemats, 10-20 tūkst
0x0b00	Maza pilsēta/ciemats, 5-10 tūkst.
0x0c00	Apdzīvota vieta, 2-5 tūkst.
0x0d00	Apdzīvota vieta, 1-2 tūkst.
0x0e00	Apdzīvota vieta, 500-1000
0x0f00	Apdzīvota vieta, 200-500
0x1000	Apdzīvota vieta, 100-200
0x1100	Apdzīvota vieta, mazāk par 100

; Labels without icons
0x1400	Lielas saimniecības nosaukums
0x1500	Mazas saimniecības nosaukums
0x1e00	Štata/provinces/reģiona nosaukums
0x1f00	Pavalsts/pagasta nosaukums
0x2800	Birka

; Marine features
0x1200	Jahtu piestātne ar infrastruktūru

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	Bāka
0x1601	Miglas taure
0x1602	Radiobāka
0x1603	Radiolokācijas bāka
0x1604	Dienas bāka, sarkans trīsstūris
0x1605	Dienas bāka, zaļš kvadrāts
0x1606	Dienas bāka, balts rombs
0x1607	Neapgaismota bāka, balta
0x1608	Neapgaismota bāka, sarkana
0x1609	Neapgaismota bāka, zaļa
0x160a	Neapgaismota bāka, melna
0x160b	Neapgaismota bāka, dzeltena/dzintarkrāsas
0x160c	Neapgaismota bāka, oranža
0x160d	Neapgaismota bāka, dažādās krāsās
0x160e	Bāka, nezināma
0x160f	Bāka, balta
0x1610	Bāka, sarkana
0x1611	Bāka, zaļa
0x1612	Bāka, dzeltena/dzintarkrāsas
0x1613	Bāka, oranža
0x1614	Bāka, violeta
0x1615	Bāka, zila
0x1616	Bāka, dažādās krāsās

0x1c00	Šķērslis
0x1c01	Vraks
0x1c02	Nogrimis vraks, bīstams
0x1c03	Nogrimis vraks, nav bīstams
0x1c04	Vraks, nostiprināts ar trosēm
0x1c05	Šķērslis, redzams augstā ūdens līmenī
0x1c06	Šķērslis, ūdens līmenī
0x1c07	Šķērslis, iegrimis
0x1c08	Šļērslis, nostiprināts ar tauvām
0x1c09	Rifs, ūdens līmenī
0x1c0a	Rifs, iegrimis zem ūdens
0x1c0b	Sēklis

; Tide table prediction used in marine maps
0x1d00	Paisumu prognoze

; NOTE: "HW Exit" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	Šosejas nobrauktuve
0x2100	Šosejas nobrauktuve ar infrastruktūru
0x210f	Šosejas nobrauktuve (uz servisu)
0x2200	Šosejas nobrauktuve (uz labierīcībām)
