.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Romanian defined by Microsoft
;
.LANGID 0x418

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Tip necunoscut

;========================================================================================

.POINT

; Cities arranged by population
0x0100	Oraş mare, peste 10 mil.
0x0200	Oraş mare, 5-10 mil.
0x0300	Oraş mare, 2-5 mil.
0x0400	Oraş mare, 1-2 mil.
0x0500	Oraş mediu, 0,5-1 mil.
0x0600	Oraş mediu, 200-500 mii
0x0700	Oraş mediu, 100-200 mii
0x0800	Oraş mic, 50-100 mii
0x0900	Oraş mic, 20-50 mii
0x0a00	Oraşel, 10-20 mii
0x0b00	Oraşel, 5-10 mii
0x0c00	Localitate, 2-5 mii
0x0d00	Localitate, 1-2 mii
0x0e00	Sat, 500-1000
0x0f00	Sat, 200-500
0x1000	Sat, 100-200
0x1100	Sat, sub 100

; Labels without icons
0x1400	Denumire stat mare
0x1500	Denumire stat mic
0x1e00	Denumire provincie/regiune
0x1f00	Denumire judeţ/raion
0x2800	Inscripţie

; Marine features
0x1200	Port cu infrastructură

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	Far
0x1601	Sirenă pt. ceaţă
0x1602	Far emiţător radio
0x1603	Geamandur radio
0x1604	Far de zi, triunghi roşu
0x1605	Far de zi, pătrat verde
0x1606	Far de zi, romb alb
0x1607	Far fără lumina, alb
0x1608	Far fără lumina, roşu
0x1609	Far fără lumina, verde
0x160a	Far fără lumina, negru
0x160b	Far fără lumina, galben
0x160c	Far fără lumina, portocaliu
0x160d	Far fără lumina, multicolor
0x160e	Far luminos
0x160f	Far luminos, alb
0x1610	Far luminos, roşu
0x1611	Far luminos, verde
0x1612	Far luminos, galben
0x1613	Far luminos, portocaliu
0x1614	Far luminos, violet
0x1615	Far luminos, albastru
0x1616	Far luminos, multicolor

0x1c00	Obstacol
0x1c01	Epavă
0x1c02	Epavă scufundată, pericol
0x1c03	Epavă scufundată, fătă pericol
0x1c04	Epavă înlăturată cu plasa
0x1c05	Obstacol vizibil la apă înaltă
0x1c06	Obstacol la nivelul apei
0x1c07	Obstacol sub nivelul apei
0x1c08	Obstacol înlăturat cu plasa
0x1c09	Roci la nivelul apei
0x1c0a	Roci sub nivelul apei
0x1c0b	Risc de atingere a solului

; Tide table prediction used in marine maps
0x1d00	Orar fluxuri

; NOTE: "HW Exit" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	Ieşire de pe şosea
0x2100	Ieşire de pe şosea, cu infrastructură
0x210f	Ieşire de pe şosea (spre service)
0x2200	Ieşire de pe şosea (spre WC)
0x2300	Ieşire de pe şosea (spre magazin)
0x2400	Ieşire de pe şosea (spre cântar)
0x2500	Ieşire de pe şosea (ghişeu achitare drum)
0x2600	Ieşire de pe şosea (ghişeu informaţii)
0x2700	Ieşire de pe şosea

0x2900	Servicii necategorizate

0x2a00	Restaurant/cantină
0x2a01	Restaurant (american)
0x2a02	Restaurant (asiatic)
0x2a03	Restaurant (frigărui)
0x2a04	Restaurant (chinezesc)
