.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Chinese (PRC) defined by Microsoft
;
.LANGID 0x804

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	未知類型

;========================================================================================

.POINT

; Cities arranged by population
0x0100	大城市，超过10M的
0x0200	大城市，5M的-10M的
0x0300	大城市，2M的-5M的
0x0400	大城市，1M的-2M的
0x0500	中等城市，500K的-1M号
0x0600	中等城市，200K的-500K的
0x0700	中等城市，100K的-200K的
0x0800	小城市，50K的-100K的
0x0900	小城市，20K的-50K的
0x0a00	小城市/镇，10K的-20K的
0x0b00	小城市/镇，5K的-10K
0x0c00	解决，2K的-5K的
0x0d00	解决，1K的-2K的
0x0e00	解决，500的-1000的
0x0f00	解决办法，200-500
0x1000	解决办法，100-200
0x1100	解决办法，减去100

; Labels without icons
0x1400	主要国家的名称
0x1500	小国家的名称
0x1e00	省/地区名称
0x1f00	县/区名称
0x2800	标籤

; Marine features
0x1200	码头设施

; NOTE: the marine navigation POIs listed below are automaticaly duplicated to point codes 0x16xx-0x1bxx
0x1600	助航设施
0x1601	雾角
0x1602	无线电信标桿
0x1603	雷达信标桿
0x1604	日间信标桿，红叁角
0x1605	日间信标桿，绿色广场
0x1606	日间信标桿，白色钻石
0x1607	无灯光助航设施，白色
0x1608	无灯光助航设施，红色
0x1609	无灯光助航设施，绿色
0x160a	无灯光助航设施，黑色
0x160b	无灯光助航设施，黄色/琥珀色
0x160c	无灯光助航设施，橙色
0x160d	无灯光助航设施，多彩色
0x160e	助航设施，未知色
0x160f	助航设施，白色
0x1610	助航设施，红色
0x1611	助航设施，绿色
0x1612	助航设施，黄色/琥珀色
0x1613	助航设施，橙色
0x1614	助航设施，蓝紫色
0x1615	助航设施，蓝色
0x1616	助航设施，多彩色

0x1c00	未分类障碍物
0x1c01	可见船骸
0x1c02	水下船骸，危险
0x1c03	水下船骸，非危险
0x1c04	船骸，已拖离
0x1c05	阻塞，可见在高水
0x1c06	梗阻，阿瓦什
0x1c07	梗阻，淹没
0x1c08	梗阻，已拖离
0x1c09	摇滚，阿瓦什
0x1c0a	岩石，淹没在低水
0x1c0b	尽可能接地风险

; Tide table prediction used in marine maps
0x1d00	潮汐/潮流预测站

; NOTE: \"HW Exit\" is highway infrastructure complex object (gas station + car wash + motel + WC + dining + etc)
0x2000	高速公路出口
0x2100	高速公路出口与设施
0x210f	高速公路出口（服务）
0x2200	高速公路出口（厕所）
0x2300	高速公路出口（便利店）
0x2400	高速公路出口（体重站）
0x2500	汉王出口（收费亭）
0x2600	高速公路出口（资料）
0x2700	高速公路出口

0x2900	其他/未归类业务

0x2a00	餐饮
0x2a01	餐饮（美国）
0x2a02	餐饮（亚洲）
0x2a03	餐饮（烧烤）
0x2a04	餐饮（中文）
0x2a05	餐饮（德利/麵包）
0x2a06	餐饮（国际）
0x2a07	快餐
0x2a08	餐饮（意大利）
0x2a09	餐饮（墨西哥）
0x2a0a	餐饮（比萨）
0x2a0b	餐饮（海鲜）
0x2a0c	餐饮（牛排/烧烤）
0x2a0d	餐饮（糖果/甜甜圈）
