.IMGTYPES

;
; This file is just base template for localizations used by GPSMapEdit to provide localized names
; for Navitel type set. This file is ignored by GPSMapEdit!
;
; NOTE 1: if you want to translate the file into another language,
; please keep the first line (".IMGTYPES") as is.
;
; NOTE 2: the hex codes below are just references to some hard-coded tables.
;

.TYPESET Navitel

; The Language ID for English (U.S.) defined by Microsoft
;
.LANGID 0x409

;========================================================================================

.POINT

0xf001	Bus station
0xf002	Bus stop
0xf003	Tram stop
0xf004	Trolley bus stop
0xf005	Underground/Subway/Metro station
0xf006	Railway stop
0xf007	Railway station/terminal
0xf008	Monorail stop/station
0xf009	Funicular/Cable car stop
0xf00a	Port
0xf00b	Wharf
0xf00c	Ferry terminal

0xf101	Orthodox church
0xf102	Catholic church
0xf103	Protestant church
0xf104	Mosque
0xf105	Synagogue
0xf106	Pagoda

0xf201	Traffic light
0xf202	Traffic police
0xf203	Railway crossing (with barrier)
0xf204	Uneven road
0xf205	Radar/Speed camera
0xf206	Height limit
0xf207	No transit traffic
0xf208	Gas fuel for automobile
0xf209	Tire fitting
0xf20a	Camber adjustment
0xf20b	Railway crossing (without barrier)
0xf20c	Traffic roundabout

0xf301	Monument
0xf302	Fountain
0xf303	Water tower
0xf304	TV/radio tower/mast
0xf305	Triangulation pillar
0xf306	Mountain pass
0xf307	Ford
0xf308	Pit
0xf309	Barrow/Hurst
0xf30a	Stones
0xf30b	Peat quarry
0xf30c	Foot-bridge
0xf30d	Cavern entry

0xf401	Deciduous forest
0xf402	Coniferous forest
0xf403	Mixed forest
0xf404	Single tree
0xf405	Isolated bush
0xf406	Grove

0xf501	Nursery school
0xf502	Secondary school
0xf503	Vocational school
0xf504	University/College
0xf505	Specialized school

0xf601	ATM
0xf602	Hairdressing salon
0xf603	Sauna
0xf604	Laundry
0xf605	Photographer's studio
0xf606	Dressmaking atelier
0xf607	Repair for electric appliances
0xf608	Repair for computers
0xf609	Repair for clothes
0xf60a	Repair for shoes
0xf60b	Repair for furniture
0xf60c	Lawyer office
0xf60d	Notary
0xf60e	Insurance
0xf60f	Realty agency
0xf610	Inquiry office
0xf611	Publisher/Editor's office
0xf612	Printing office
0xf613	Travel agency
0xf614	Booking office for airways/railroad
0xf615	Free Wi-Fi hotspot
0xf616	Cybercafe

0xf701	Market
0xf702	Shoe shop
0xf703	Manufactured goods
0xf704	Household chemical goods
0xf705	Electric appliances
0xf706	Mobile devices
0xf707	Sport and tourist goods
0xf708	Weapon shop
0xf709	Gift shop
0xf70a	Flower shop
0xf70b	Jewelry store
0xf70c	Pet-shop

0xf801	Dental clinic
0xf802	Veterinary clinic

0xf901	Circus

;========================================================================================

.POLYLINE

0x3d	Directed text, small
0x3e	Directed text

0x3f	Tram line
0x40	Monorail line
0x41	Funicular/Cable car line

0x42	Earth or gravel road
0x43	Tunnel
0x44	River, thick

0x45	City district boundary
0x46	Fence

0x47	Planned route
0x48	Forest firebreak glade
0x49	Traffic lane

;========================================================================================

.POLYGON

; Roads
0x68	Collector road
0x69	Arterial road
0x6a	Square
0x6b	Road, street

; Buildings
0x6c	Residential building
0x6d	Office building
0x6e	Common building
0x6f	Industrial building

0x70	Black area
0x71	Dark red area
0x72	Dark green area
0x73	Dark yellow area
0x74	Dark blue area
0x75	Dark magenta area
0x76	Dark cyan area
0x77	Light gray area
0x78	Dark gray area
0x79	Red area
0x7a	Green area
0x7b	Yellow area
0x7c	Blue area
0x7d	Magenta area
0x7e	Cyan area
0x7f	White area
0x80	Text area

0x81	Swamp forest
0x82	Undersized forest
0x83	Sparse forest
0x84	Burnt/dead forest
0x85	Stumped forest
0x86	Vineyard
0x87	Rice field
0x88	Meadow
0x89	Sand
0x8a	Stony land
0x8b	Saline land/Salt-marsh
0x8c	Reed
0x8d	Algae
0x8e	Thornbush
0x8f	Wind-fallen trees
0x90	Elfin wood/Krummholz
0x91	Saxaul
0x92	Bamboo
0x93	Palm forest
0x94	Mangroves
0x95	High grass
0x96	Mosses
0x97	Lichens
0x98	Grass-plot/Lawn
