.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Navitel type set.
; Este arquivo é usado pelo GPSMapEdit para fornecer nomes localizados para o conjunto de tipos Navitel.
; (c) Translated to Portuguese (Brazil) by Camilo Barreto and Jânio Barbosa.
;

.TYPESET Navitel

; The Language ID for Portuguese (Brazil) defined by Microsoft
; Identificação de idioma para Português (Brasil), definida pela Microsoft
;
.LANGID 0x416

;========================================================================================

.POINT

0xf001	Estação rodoviária
0xf002	Parada de ônibus
0xf003	Parada de bonde elétrico
0xf004	Parada de ônibus elétrico
0xf005	Estação de Metro
0xf006	Estação de trem
0xf007	Terminal de trem
0xf008	Estação de monotrilho
0xf009	Parada de funicular/teleférico
0xf00a	Porto
0xf00b	Desembarcadouro
0xf00c	Terminal de balsa

0xf101	Igreja ortodoxa
0xf102	Igreja católica
0xf103	Igreja protestante
0xf104	Mesquita
0xf105	Sinagoga
0xf106	Pagode

0xf201	Semáforo
0xf202	Polícia rodoviária
0xf203	Travessia ferroviária (com barreira)
0xf204	Estrada acidentada
0xf205	Radares/Câmera de velocidade
0xf206	Limite de altura
0xf207	Trânsito proibido
0xf208	Combustível para automóvel
0xf209	Montagem de rodas
0xf20a	Ajuste de rodas
0xf20b	Travessia ferroviária (sem barreira)
0xf20c	Rotatória/balão

0xf301	Monumento
0xf302	Fonte
0xf303	Caixa d’água
0xf304	Torre de TV/rádio
0xf305	Ponto geodésico
0xf306	Passagem de montanha
0xf307	Vau
0xf308	Cratera/buraco
0xf309	Pequena colina
0xf30a	Pedras
0xf30b	Pedreira
0xf30c	Ponte para pedestre
0xf30d	Entrada de caverna

0xf401	Floresta transitória
0xf402	Floresta conífera
0xf403	Floresta mista
0xf404	Árvore isolada
0xf405	Arbusto isolado
0xf406	Bosque

0xf501	Creche
0xf502	Escola secundária
0xf503	Escola vocacional
0xf504	Universidade/Faculdade
0xf505	Escola especializada

0xf601	Caixa automático
0xf602	Cabeleireiro
0xf603	Sauna
0xf604	Lavanderia
0xf605	Estúdio fotográfico
0xf606	Alfaiataria
0xf607	Reparação de eletrodomésticos
0xf608	Reparação de computadores
0xf609	Conserto de roupas
0xf60a	Conserto de calçados
0xf60b	Conserto de móveis
0xf60c	Escritório de Advocacia
0xf60d	Tabelião/Cartório
0xf60e	Seguro
0xf60f	Imobiliária
0xf610	Serviço de Informação
0xf611	Escritório do editor
0xf612	Tipografia
0xf613	Agencia de viagens
0xf614	Agência de viagens aéreas/ferroviárias
0xf615	Ponto de acesso grátis à internet 
0xf616	Internet Café

0xf701	Mercado
0xf702	Sapataria
0xf703	Produtos manufaturados
0xf704	Produtos químicos domésticos
0xf705	Aparelhos elétricos
0xf706	Dispositivos portáteis/telefonia celular
0xf707	Artigos esportivos/turísticos
0xf708	Loja de armas
0xf709	Loja de presentes
0xf70a	Floricultura
0xf70b	Joalheria
0xf70c	Loja de animais

0xf801	Clínica dentária
0xf802	Clínica veterinária

0xf901	Circo

;========================================================================================

.POLYLINE

0x3d	Texto dirigido texto, pequeno
0x3e	Texto dirigido

0x3f	Rede elétrica
0x40	Pista de monotrilho
0x41	Linha de funicular/teleférico

0x42	Estrada de terra ou cascalho
0x43	Túnel
0x44	Rio largo

0x45	Fronteira do bairro/cidade
0x46	Cerca

0x47	Rota planejada
0x48	Clareira corta-fogo florestal/aceiro
0x49	Faixa de trânsito

;========================================================================================

.POLYGON

; Roads
0x68	Estrada secundária
0x69	Estrada principal
0x6a	Praça
0x6b	Rodovia, estrada, rua

; Buildings
0x6c	Edifício residencial
0x6d	Edifício de escritórios
0x6e	Construção comum
0x6f	Edifício industrial

0x70	Área preta
0x71	Área vermelha escuro
0x72	Área verde escuro
0x73	Área amarela escuro
0x74	Área azul escuro 
0x75	Área magenta escuro
0x76	Área azul-piscina escuro
0x77	Área cinza claro
0x78	Área cinza escuro
0x79	Área vermelha
0x7a	Área verde
0x7b	Área amarela
0x7c	Área azul
0x7d	Área magenta
0x7e	Área azul-piscina
0x7f	Área branca
0x80	Área de texto

0x81	Floresta pantanosa
0x82	Floresta baixa
0x83	Floresta esparsa
0x84	Floresta queimada/morta
0x85	Floresta de tocos
0x86	Vinha
0x87	Campo de arroz
0x88	Prado
0x89	Areia
0x8a	Terreno pedregoso
0x8b	Terreno calcário/Salobro
0x8c	Cana
0x8d	Algas
0x8e	Arbustos espinhosos
0x8f	Árvores derrubadas pelo vento
0x90	Floresta elfin/pigmeu
0x91	Saxaul
0x92	Bambú
0x93	Floresta de palmeiras
0x94	Mangues
0x95	Erva alta
0x96	Musgo
0x97	Liquenes
0x98	Gramado
