.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for NaviTel type set.
; (c) Translated to Russian by Konstantin Galichsky
;

.TYPESET Navitel

; The Language ID for Russian defined by Microsoft
;
.LANGID 0x419

;========================================================================================

.POINT

0xf001	Автобусная станция
0xf002	Остановка автобуса
0xf003	Остановка трамвая
0xf004	Остановка троллейбуса
0xf005	Станция метро
0xf006	Железнодорожная станция или платформа
0xf007	Железнодорожный вокзал
0xf008	Станция монорельсовой дороги
0xf009	Остановка фуникулёра/канатной дороги
0xf00a	Порт
0xf00b	Пристань
0xf00c	Причал парома

0xf101	Православный храм
0xf102	Католический храм
0xf103	Протестантский храм
0xf104	Мечеть
0xf105	Синагога
0xf106	Пагода

0xf201	Светофор
0xf202	Пост ГАИ
0xf203	Ж/д переезд со шлагбаумом
0xf204	Неровная дорога
0xf205	Радар контроля скорости
0xf206	Ограничение высоты
0xf207	Сквозное движение запрещено
0xf208	АГЗС
0xf209	Шиномонтаж
0xf20a	Сход-развал
0xf20b	Ж/д переезд без шлагбаума
0xf20c	Круговое движение

0xf301	Памятник
0xf302	Фонтан
0xf303	Водонапорная башня
0xf304	Радиомачта
0xf305	Геодезический знак
0xf306	Горный перевал
0xf307	Брод
0xf308	Яма
0xf309	Холм/Курган
0xf30a	Камни
0xf30b	Торфоразработки
0xf30c	Пешеходный мост
0xf30d	Вход в пещеру

0xf401	Лиственный лес
0xf402	Хвойный лес
0xf403	Смешанный лес
0xf404	Отдельно стоящее дерево
0xf405	Отдельный куст
0xf406	Отдельная роща

0xf501	Дошкольное учреждение
0xf502	Средняя школа
0xf503	Профессиональное училище
0xf504	Высшее учебное заведение
0xf505	Специальное учебное заведение

0xf601	Банкомат
0xf602	Парикмахерская
0xf603	Баня, сауна
0xf604	Химчистка, прачечная
0xf605	Фотография
0xf606	Ателье
0xf607	Ремонт бытовой техники
0xf608	Ремонт компьютеров
0xf609	Ремонт одежды
0xf60a	Ремонт обуви
0xf60b	Ремонт мебели
0xf60c	Юридическая контора
0xf60d	Нотариус
0xf60e	Страховая компания
0xf60f	Агентство недвижимости
0xf610	Справочная служба
0xf611	Издательство/Редакция
0xf612	Типография
0xf613	Турагентство
0xf614	Авиакасса, ж/д касса
0xf615	Бесплатная точка доступа Wi-Fi
0xf616	Интернет-кафе

0xf701	Рынок
0xf702	Обувной магазин
0xf703	Промтоварный магазин
0xf704	Магазин бытовой химии
0xf705	Магазин бытовой техники
0xf706	Магазин мобильной техники
0xf707	Спортивные и туристические товары
0xf708	Оружейный магазин
0xf709	Магазин подарков
0xf70a	Цветочный магазин
0xf70b	Ювелирный магазин
0xf70c	Зоомагазин

0xf801	Стоматология
0xf802	Ветеринарная клиника

0xf901	Цирк

;========================================================================================

.POLYLINE

0x3d	Направленный текст малый
0x3e	Направленный текст

0x3f	Трамвайная линия
0x40	Монорельс
0x41	Фуникулёр/канатная дорога

0x42	Улучшенная грунтовая дорога
0x43	Тоннель
0x44	Река широкая

0x45	Граница городского района
0x46	Забор

0x47	Планируемый маршрут
0x48	Просека
0x49	Полоса движения

;========================================================================================

.POLYGON

; Roads
0x68	Улица крупная
0x69	Городская магистраль
0x6a	Площадь
0x6b	Дорога, улица

; Buildings
0x6c	Жилое здание
0x6d	Административное здание
0x6e	Здание общественного назначения
0x6f	Промышленное здание

0x70	Область черного цвета
0x71	Область темно-красного цвета
0x72	Область темно-зеленого цвета
0x73	Область темно-желтого цвета
0x74	Область темно-синего цвета
0x75	Область темно-пурпурного цвета
0x76	Область темно-синезелёного цвета
0x77	Область светло-серого цвета
0x78	Область темно-серого цвета
0x79	Область красного цвета
0x7a	Область зеленого цвета
0x7b	Область желтого цвета
0x7c	Область синего цвета
0x7d	Область пурпурного цвета
0x7e	Область синезелёного цвета
0x7f	Область белого цвета
0x80	Надпись

0x81	Заболоченный лес
0x82	Низкорослый лес
0x83	Редколесье
0x84	Горелые и сухостойные леса
0x85	Вырубленный лес
0x86	Виноградники
0x87	Рисовые поля
0x88	Луга
0x89	Пески
0x8a	Каменистая поверхность
0x8b	Солончаки
0x8c	Тростник
0x8d	Водоросли
0x8e	Колючий кустарник
0x8f	Бурелом
0x90	Стланик/криволесье
0x91	Саксаул
0x92	Заросли бамбука
0x93	Пальмовая роща
0x94	Мангровые заросли
0x95	Высокая трава
0x96	Мхи
0x97	Лишайники
0x98	Газон
